"site_id","Date","DateTime","Value","Unit","CharacteristicName","USGSPCode","Result_ND","ResultSampleFractionText","BaseflowConditions"
"USGS-01201487",2017-05-17,2017-05-17 17:30:00,311,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01201487",2017-05-17,2017-05-17 17:30:00,272,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01192704",2020-08-20,2020-08-20 16:00:00,304,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01198125",2017-06-22,2017-06-22 14:30:00,177,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01198125",2017-06-22,2017-06-22 14:30:00,155,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01170100",2017-04-24,2017-04-24 13:20:00,57,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",1
"USGS-01166500",2020-08-18,2020-08-18 13:45:00,185,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01166500",2020-08-18,2020-08-18 13:45:00,165,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"CT_DEP01_WQX-15087",2013-09-17,2013-09-17 16:45:00,203,"mgLTDS","Total dissolved solids",NA,NA,NA,0
"CT_DEP01_WQX-14800",2013-09-16,2013-09-16 17:28:00,158,"mgLTDS","Total dissolved solids",NA,NA,NA,0
"USGS-01184000",2017-08-22,2017-08-22 14:30:00,109,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01184000",2017-08-22,2017-08-22 14:30:00,96,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01184490",2017-09-28,2017-09-28 13:15:00,258,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01198125",2017-08-21,2017-08-21 14:00:00,221,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01198125",2017-08-21,2017-08-21 14:00:00,205,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
